edge2,edge1,id,Year
3635,57898,57898,2015
59190,57898,57898,2015
34007,57898,57898,2015
2760,57898,57898,2015
3351,57898,57898,2015
52251,57898,57898,2015
58599,57898,57898,2015
3174,57898,57898,2015
55753,57898,57898,2015
3264,57898,57898,2015
43870,57898,57898,2015
3742,57898,57898,2015
34389,58269,58269,2016
3994,58269,58269,2016
53599,58269,58269,2016
22164,58269,58269,2016
3639,58269,58269,2016
33141,58269,58269,2016
52997,58269,58269,2016
20839,58269,58269,2016
55816,58269,58269,2016
53131,58269,58269,2016
56042,58269,58269,2016
3994,58397,58397,2005
53134,58397,58397,2005
22768,58397,58397,2005
23501,58397,58397,2005
53363,58397,58397,2005
53467,58397,58397,2005
58438,58397,58397,2005
53341,58405,58405,2004
62154,58405,58405,2004
22768,58405,58405,2004
53341,58438,58438,2004
21016,58438,58438,2004
23501,58438,58438,2004
21292,58438,58438,2004
53467,58438,58438,2004
42817,58448,58448,2003
53425,58448,58448,2003
53769,58448,58448,2003
60726,58508,58508,2007
56801,58508,58508,2007
21338,58508,58508,2007
42739,58508,58508,2007
35289,58521,58521,2006
60662,58521,58521,2006
69925,58521,58521,2006
53575,58521,58521,2006
56114,58521,58521,2006
44700,58534,58534,2006
56059,58534,58534,2006
58578,58534,58534,2006
44969,58534,58534,2006
3959,58541,58541,2006
4181,58541,58541,2006
56121,58541,58541,2006
50184,58541,58541,2006
22478,58541,58541,2006
55992,58541,58541,2006
53374,58558,58558,2006
4016,58558,58558,2006
53341,58571,58571,2005
44910,58571,58571,2005
56059,58578,58578,2005
44969,58578,58578,2005
59190,58583,58583,2005
56061,58583,58583,2005
60723,58583,58583,2005
45820,58583,58583,2005
69925,58583,58583,2005
45033,58583,58583,2005
53575,58583,58583,2005
56116,58583,58583,2005
53332,58583,58583,2005
53132,58583,58583,2005
21292,58583,58583,2005
60721,58583,58583,2005
21050,58583,58583,2005
60728,58583,58583,2005
3321,58597,58597,2015
60148,58597,58597,2015
37762,58597,58597,2015
55847,58597,58597,2015
3054,58597,58597,2015
6627,58597,58597,2015
51328,58597,58597,2015
3930,58597,58597,2015
55101,58597,58597,2015
3129,58597,58597,2015
2767,58597,58597,2015
3100,58597,58597,2015
53485,58597,58597,2015
2760,58599,58599,2015
3635,58599,58599,2015
60780,58599,58599,2015
45153,58599,58599,2015
60723,58599,58599,2015
6227,58599,58599,2015
3351,58599,58599,2015
45147,58599,58599,2015
37708,58599,58599,2015
4222,58599,58599,2015
3174,58599,58599,2015
43870,58599,58599,2015
4095,58599,58599,2015
53806,58599,58599,2015
3742,58599,58599,2015
3109,58599,58599,2015
12232,58611,58611,2015
3293,58611,58611,2015
1074,58611,58611,2015
52941,58611,58611,2015
42756,58611,58611,2015
3257,58611,58611,2015
42491,58611,58611,2015
3376,58611,58611,2015
60599,58611,58611,2015
43787,58611,58611,2015
23188,58611,58611,2015
42513,58611,58611,2015
34004,58618,58618,2014
51669,58618,58618,2014
22532,58618,58618,2014
55991,58618,58618,2014
35739,58618,58618,2014
2272,58618,58618,2014
52621,58618,58618,2014
3994,58618,58618,2014
21016,58618,58618,2014
55402,58618,58618,2014
3685,58618,58618,2014
